PDB,IRMSD,PID,label,HADDOCK,PIsToN,dMaSIF,DeepRank-GNN,GNN-DOVE,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE
3D5S_202,18.37,3D5S,0,60.74882,1.335284233,-0.228521645,0.004397357,0.2368,852.297,414.594,10.445,2.322,-0.065,-32.06,0.50329
3D5S_203,15.43,3D5S,0,-7.24326,1.12887454,-0.50900358,0.037756205,0.2743,557.295,215.674,-16.446,-1.347,-0.1702,-37.57,0.490216
3D5S_204,20.96,3D5S,0,12.634569999999998,1.774282217,-0.029855704,0.010103228,0.657,594.691,228.206,28.953,0.555,-0.0848,-0.34,0.765046
3D5S_205,18.39,3D5S,0,139.37932,0.781769514,-2.280174732,0.008012806,0.2274,731.592,307.162,-6.191,6.039,-0.2213,-63.2,0.614927
3D5S_206,15.55,3D5S,0,-56.93669,0.459084988,-0.533995628,0.04841435,0.28,394.601,233.89,-8.344,-0.639,-0.2665,-45.27,0.586397
3D5S_207,16.73,3D5S,0,-15.05754,1.744858623,0.715349436,0.010279951,0.4186,806.032,300.178,20.89,1.102,-0.0548,-44.91,0.973677
3D5S_208,18.94,3D5S,0,153.10463,0.528711677,-1.049606681,0.010279951,0.2417,1577.71,586.481,12.217,4.593,-0.187,-67.32,0.721633
3D5S_209,17.18,3D5S,0,-24.2853,1.070059538,1.044952512,0.007672096,0.2274,345.904,171.283,-6.902,2.973,-0.218,-54.73,0.676572
3D5S_210,18.21,3D5S,0,204.32655,0.202507138,-1.150083661,0.017648058,0.2312,1398.79,448.684,-0.935,3.386,-0.0541,-72.55,0.481439
3D5S_211,17.03,3D5S,0,-1.3985,0.074215889,0.765919447,0.009666083,0.2518,357.62,159.015,-1.064,4.731,-0.1456,-36.97,0.799896
3D5S_212,14.88,3D5S,0,-17.98996,1.352049589,0.614447296,0.006668503,0.2274,237.296,180.861,-3.685,0.942,-0.086,-58.7,0.918585
3D5S_213,16.8,3D5S,0,-63.4808,1.880086899,-0.720986307,0.009760045,0.3194,430.356,143.395,-16.035,1.463,-0.1479,-16.19,0.665551
3D5S_214,14.88,3D5S,0,-46.63957,0.802620292,-0.171459481,0.007974485,0.2513,631.15,292.845,-6.308,1.014,-0.1077,-46.05,0.470086
3D5S_215,15.87,3D5S,0,28.33628,1.503198266,0.665293992,0.006120942,0.2766,840.737,326.374,-6.701,2.45,-0.2132,-46.99,0.683369
3D5S_216,17.71,3D5S,0,-41.72764,1.93250978,0.630540133,0.010279951,0.3485,647.404,182.884,20.965,2.114,-0.108,-22.14,0.865674
3D5S_217,18.38,3D5S,0,3127395.377,1.502562284,-0.760280252,0.009037184,0.6204,1027.75,309.623,27.777,1.751,-0.0726,-8.82,0.523975
3D5S_218,16.78,3D5S,0,52.79719999999999,1.590863943,0.689881027,0.009149532,0.2468,232.004,155.763,-3.57,6.126,-0.1092,-31.74,0.715953
3D5S_219,18.95,3D5S,0,-4.7477,1.371464491,-0.798640907,0.024981547,0.2308,386.04,192.105,-8.435,2.927,-0.0858,-37.62,0.503868
3D5S_220,16.24,3D5S,0,-15.2456,1.056648731,-0.65933001,0.009732447,0.5521,396.459,252.181,-9.082,0.568,-0.1548,-26.03,0.430227
3D5S_221,16.95,3D5S,0,19.222019999999983,0.650462091,-0.669838786,0.013086438,0.4808,1204.78,274.036,-22.501,-0.015,-0.1671,-42.45,0.64566
3D5S_222,16.97,3D5S,0,-56.35621,1.926006317,-0.71873486,0.008141965,0.3485,119.439,92.762,-9.656,0.708,-0.1739,-3.59,0.586238
3D5S_223,14.89,3D5S,0,-21.9484,0.006654978,-0.653839707,0.004212103,0.266,20.4831,81.154,-4.487,2.451,0.0195,-5.68,0.674787
3D5S_224,17.34,3D5S,0,-45.57027,1.738507867,0.859942198,0.010279951,0.3417,782.526,222.041,15.335,1.958,-0.065,-37.66,0.872442
3D5S_225,13.85,3D5S,0,-38.32774,1.862749577,0.465835333,0.00911825,0.3117,474.77,202.562,3.299,-0.375,-0.1842,-25.5,0.678643
3D5S_226,19.18,3D5S,0,-22.31555,1.712793589,-1.281890392,0.006484461,0.2356,50.2328,99.79,2.601,2.649,-0.2532,-37.22,0.765469
3D5S_227,17.16,3D5S,0,198.62922,1.409973264,0.715098262,0.010279951,0.3828,1695.7,410.429,17.465,2.45,-0.0062,-55.31,0.726642
3D5S_228,17.28,3D5S,0,-17.53956,0.014687896,-1.017112017,0.007142543,0.2286,359.101,226.875,-6.187,2.911,-0.2053,-53.63,0.618808
3D5S_229,19.37,3D5S,0,86.53138,1.459809065,-0.026795391,0.008454285,0.2325,963.137,302.832,-18.996,2.497,-0.0773,-42.44,0.718167
3D5S_230,14.69,3D5S,0,4.680399999999999,1.30107069,0.399699867,0.005129677,0.5098,1399.53,460.626,6.93,0.4,0.1032,-51.33,0.733141
3D5S_231,18.28,3D5S,0,70.98336,0.072420359,-2.147836447,0.009631909,0.2274,1072.78,343.684,-5.037,6.309,-0.2256,-56.24,0.56117
3D5S_232,18.31,3D5S,0,43.62288,0.013359547,-2.1461339,0.009200631,0.2274,412.113,218.654,-11.384,5.686,-0.2189,-46.65,0.567076
3D5S_233,15.91,3D5S,0,-19.33161,1.899116278,0.496216506,0.008444922,0.2274,589.944,269.729,-7.171,2.844,-0.3221,-33.48,0.638741
3D5S_234,18.52,3D5S,0,52.62742899999999,0.058345199,-1.020230055,0.032568667,0.2334,904.534,362.241,-1.251,3.056,-0.0326,-69.31,0.435792
3D5S_235,15.47,3D5S,0,-7.99174,1.558404446,-0.461244076,0.00955718,0.2274,86.9521,130.23,-12.159,1.933,-0.2932,-30.28,0.694031
3D5S_236,15.91,3D5S,0,-57.98974,0.16381228,0.75791204,0.010279951,0.2664,285.885,152.655,15.383,2.37,-0.2748,-71.2,0.760309
3D5S_237,18.5,3D5S,0,-30.86366,0.445531011,-1.001516581,0.017678497,0.2337,125.88,73,-8.258,2.46,-0.137,-46.23,0.66692
3D5S_238,14.78,3D5S,0,20.68656,0.674726009,-0.1810783,0.006836936,0.2287,185.611,97.938,-7.893,0.643,-0.121,-25.97,0.699512
3D5S_239,19.19,3D5S,0,-14.0799,0.315141916,-1.03038919,0.009527684,0.2419,425.648,247.711,4.811,4.623,-0.0096,-38.41,0.943084
3D5S_240,19.44,3D5S,0,-34.55054,0.887560129,-1.856167078,0.00972529,0.2274,167.516,120.61,-10.933,3.672,-0.0486,-25.39,0.915667
3D5S_241,16.86,3D5S,0,9.855300000000002,1.756613731,0.808296204,0.009599975,0.2274,390.07,240.574,-4.46,6.572,-0.1391,-47.27,0.584387
3D5S_242,17.43,3D5S,0,-52.42928,1.599777579,1.015961289,0.00987753,0.2287,-21.0433,65.805,-2.265,5.736,-0.0117,-26.12,0.827264
3D5S_243,17.51,3D5S,0,-48.706,1.396662116,-0.701556563,0.010967097,0.2174,913.753,176.912,-5.242,-0.843,-0.244,-31.46,0.629407
3D5S_244,18.67,3D5S,0,62.42886,0.984579921,-1.82824254,0.009764746,0.2274,383.694,251.76,-14.038,6.066,-0.2003,-47.25,0.876054
3D5S_245,17.3,3D5S,0,32.96726999999999,1.851426959,0.603258789,0.010279951,0.2101,1450.13,384.415,14.051,2.235,-0.0704,-55.69,0.753403
3D5S_246,17.11,3D5S,0,-26.80063,1.916032672,0.812036157,0.010279951,0.2744,122.395,105.657,9.144,2.743,-0.1459,-27.65,0.842
3D5S_247,19.03,3D5S,0,129.20456,1.162700176,-0.182177722,0.010279951,0.2957,2243.01,743.429,34.037,1.164,-0.1288,-108.22,0.8011
3D5S_248,15.34,3D5S,0,-36.067606,1.542160273,-0.55452925,0.017808903,0.2274,778.772,264.386,-4.543,-1.257,-0.0369,-40.54,0.636857
3D5S_249,15.62,3D5S,0,-17.40709,0.85448873,-0.205366984,0.009458161,0.233,-52.6593,94.23,-13.853,1.567,-0.3032,-33.15,0.710765
3D5S_250,14.31,3D5S,0,-12.5834,1.706707358,0.593136966,0.008761534,0.2718,2534.46,677.383,8.117,0.039,0.0284,-70.26,0.520144
3D5S_251,18.45,3D5S,0,-9.23521,0.224845052,-0.026795391,0.008931625,0.2274,220.937,183.255,-9.628,6.932,-0.1856,-48.44,0.799065
3D5S_252,20.52,3D5S,0,-25.31769,1.86231029,-0.906556904,0.01026187,0.2366,422.309,220.987,0.632,1.929,-0.1898,-34.28,0.576431
3D5S_253,14.84,3D5S,0,-23.58401,1.132447243,0.749083519,0.005824979,0.2274,205.407,125.102,-14.696,2.974,-0.0938,-28.19,0.69071
3D5S_254,14.49,3D5S,0,-16.22764,0.090844989,0.563291907,0.010279951,0.2301,364.048,183.445,23.937,2.161,-0.3049,-52.69,1.093083
3D5S_255,20.83,3D5S,0,-67.90788,1.849045157,-0.802008688,0.008467806,0.2421,116.223,116.728,1.472,1.478,-0.2523,-34.01,0.64526
3D5S_256,18.85,3D5S,0,56.839560000000006,0.250201702,-1.21023953,0.027388521,0.2308,575.839,249.244,-4.812,2.116,-0.0195,-44.62,0.584128
3D5S_257,18.22,3D5S,0,11.062725999999998,0.45411098,-0.955694258,0.009541729,0.4316,376.417,199.023,18.774,1.159,-0.2019,-2.83,0.631102
3D5S_258,15.09,3D5S,0,73.508541,0.942024469,-0.617455184,0.024058741,0.2274,678.298,243.255,-2.967,0.2,-0.0853,-40.58,0.757373
3D5S_259,17.25,3D5S,0,16.612640000000006,0.047323346,0.900266051,0.00658461,0.2688,931.275,451.082,-3.716,2.205,-0.1881,-101.96,0.808653
3D5S_260,18.4,3D5S,0,80.17188,0.292661548,-1.862069607,0.010172758,0.2274,531.734,232.572,-9.624,5.855,-0.2492,-39.37,0.708439
3D5S_261,17.07,3D5S,0,-24.49107,0.71762228,-0.774823725,0.007450898,0.2602,-4.04537,90.575,-3.837,2.175,-0.0268,-24.3,0.536955
3D5S_262,16.67,3D5S,0,54.0317,1.097047806,1.100572705,0.009303533,0.2274,386.276,231.269,-7.523,6.496,-0.0995,-50.77,0.471773
3D5S_263,19.2,3D5S,0,42.58425,0.922193527,-0.754705787,0.010279951,0.2952,963.226,337.174,18.137,1.25,-0.1086,-71.82,0.714649
3D5S_264,16.37,3D5S,0,-59.63297,0.896979272,-0.634515285,0.019065408,0.3306,886.167,239.997,-18.354,-1.305,-0.185,-37.67,0.424849
3D5S_265,14.69,3D5S,0,128.18958999999998,0.147753596,0.553382218,0.010279951,0.2313,1175.98,404.01,27.152,2.622,-0.3781,-91.5,1.143414
3D5S_266,14.62,3D5S,0,-24.82942,0.356862426,-0.47971642,0.030471474,0.2345,723.97,311.723,-3.665,2.254,-0.1775,-45.17,0.871833
3D5S_267,17.6,3D5S,0,-21.9597,1.057931185,0.811186671,0.006512851,0.2305,497.698,222.214,-5.05,2.587,-0.0966,-61.9,0.681727
3D5S_268,13.94,3D5S,0,-11.51166,1.089239359,0.602118075,0.005313432,0.2274,684.36,195.375,-7.315,2.205,-0.1092,-45.39,0.761143
3D5S_269,15.2,3D5S,0,-29.57384,1.9502002,1.210407853,0.00436428,0.2274,237.805,140.972,-5.936,2.682,-0.1264,-37.51,0.804154
3D5S_270,14.54,3D5S,0,-11.63018,-0.027085781,0.529288888,0.010279951,0.2286,505.942,241.669,19.602,1.997,-0.4582,-58.35,1.044641
3D5S_271,18.94,3D5S,0,2.8516080000000006,1.010421753,-2.181992054,0.010279951,0.2274,541.914,279.58,-7.808,6.827,-0.1914,-37.54,0.855669
3D5S_272,17.83,3D5S,0,-15.72997,1.255434752,-1.060115457,0.018080948,0.2274,138.18,137.393,-5.071,2.462,-0.1131,-49.79,0.611554
3D5S_273,14.71,3D5S,0,57.27407,0.01153481,0.402556181,0.010279951,0.2247,2328.81,528.599,28.679,3.022,-0.4912,-94.98,1.114509
3D5S_274,16.22,3D5S,0,-53.65105,0.01835537,-0.585366607,0.01774025,0.2992,47.9351,112.65,-9.489,-1.879,-0.1394,-22.76,0.545852
3D5S_275,16.13,3D5S,0,-52.956368,1.65527916,0.216248199,0.004567263,0.2357,173.978,142.588,-14.637,3.078,-0.1339,-39.68,0.518732
3D5S_276,15.02,3D5S,0,-20.807539,1.933334708,-0.760280252,0.005924159,0.2274,264.179,168.576,-10.808,3.283,-0.1479,-44.79,0.809456
3D5S_277,16.28,3D5S,0,-20.65888,1.1311059,-0.514958441,0.00706539,0.3159,1385.66,290.814,-21.988,-0.381,-0.15,-51.77,0.56185
3D5S_278,14.92,3D5S,0,-19.98167,1.412159681,-0.402813822,0.031197473,0.2371,277.747,158.02,-4.424,2.017,-0.1807,-37.37,0.777037
3D5S_279,16.66,3D5S,0,132.74880000000002,1.908299804,0.797535956,0.008574709,0.7008,2942.1,786.679,20.635,0.685,-0.1492,-79.74,0.045776
3D5S_280,17.12,3D5S,0,-27.123778,1.309443593,-1.035197496,0.02167305,0.2315,623.233,207.827,-3.999,1.526,-0.146,-43.78,0.52751
3D5S_281,17.21,3D5S,0,33.8307,1.869935274,0.998905301,0.006450086,0.2274,511.171,263.217,-3.378,3.382,-0.2783,-62.45,0.718627
3D5S_282,17.78,3D5S,0,221.00039,1.548568845,0.032144111,0.010279951,0.2391,2323.85,684.466,36.314,-0.095,-0.0599,-83.57,0.255913
3D5S_283,15.57,3D5S,0,-60.40453,0.860035479,-0.295027912,0.042767506,0.2455,570.166,183.405,-20.753,-1.778,-0.2712,-36.67,0.557574
3D5S_284,15.71,3D5S,0,8.384199999999993,1.467512488,-0.645067155,0.006639836,0.2604,483.661,257.889,8.347,0.479,-0.1447,-55.75,0.520118
3D5S_285,16.08,3D5S,0,98.19644999999998,0.401284456,-0.585958362,0.006296595,0.5178,1808.33,368.195,-29.242,-1.719,-0.2522,-70.53,0.569852
3D5S_286,16.57,3D5S,0,-5.3539,1.185306787,1.192105055,0.010279951,0.2274,162.532,151.924,-9.788,5.236,-0.0346,-33.1,0.671946
3D5S_287,17.83,3D5S,0,142.73610000000002,1.541005254,-0.101468675,0.007278833,0.2663,1364.4,457.259,6.993,2.857,-0.0337,-67.88,0.389303
3D5S_288,16.83,3D5S,0,11.520990000000005,1.932767868,0.831716657,0.009610974,0.2764,834.81,299.284,21.666,3.069,-0.0222,-30.57,0.945759
3D5S_289,18.03,3D5S,0,-31.86498,1.852378249,-0.244878978,0.003639629,0.2334,672.043,248.559,-3.834,2.442,-0.0156,-32.2,0.555448
3D5S_290,14.78,3D5S,0,6.938120000000001,1.643047094,-0.06848257,0.004319022,0.2274,280.394,224.304,-1.811,1.311,-0.0359,-42.78,0.492119
3D5S_291,19.01,3D5S,0,-6.42282,1.092997074,-0.026795391,0.010279951,0.2274,68.4385,131.482,-1.184,4.496,-0.0738,-32.33,0.818519
3D5S_292,4.31,3D5S,1,23.65846,1.108532071,-0.099352039,0.00923576,0.3059,505.466,226.817,-12.285,0.791,-0.1923,-49.79,1.124709
3D5S_293,17.55,3D5S,0,67.52055,0.389767766,0.263438761,0.010279951,0.3446,487.497,249.142,8.617,5.611,-0.0885,-45.69,0.866184
3D5S_294,17.36,3D5S,0,69.57112,1.633200645,0.862425923,0.010279951,0.329,1380.56,309.421,10.858,2.76,-0.0257,-52.74,0.794013
3D5S_295,14.54,3D5S,0,-46.3837,-0.009257317,0.557534516,0.010279951,0.2307,313.427,168.193,16.918,2.275,-0.2347,-47.36,1.02028
3D5S_296,15.54,3D5S,0,-41.36963,0.404734731,-0.205469608,0.009494137,0.2931,143.52,132.628,-17.887,-2.064,-0.2368,-41.37,0.564843
3D5S_297,15.56,3D5S,0,-58.273268,0.179118991,-0.430109113,0.038096253,0.2737,663.311,219.935,-13.256,-1.429,-0.1239,-47.47,0.57803
3D5S_298,17.67,3D5S,0,-15.5811,0.540241838,-0.869131565,0.009498463,0.2646,771.331,216.935,-11.985,2.203,-0.1527,-58.32,0.812044
3D5S_299,14.44,3D5S,0,-20.40469,1.80333519,1.277482271,0.00523995,0.2649,426.863,219.012,-5.681,0.348,-0.0904,-27.54,0.713155
3D5S_300,14.24,3D5S,0,-26.44116,1.03448987,0.341692209,0.003618671,0.2317,250.575,166.122,-2.089,2.459,-0.0479,-47.9,0.502648
3D5S_301,16.79,3D5S,0,-10.9124862,1.206503868,1.462964416,0.007416961,0.2663,823.39,280.133,-2.332,3.155,-0.0252,-68.07,0.906773
3D5S_302,17.62,3D5S,0,47.06469,1.812383652,0.616135776,0.010279951,0.2453,470.502,191.108,20.4,2.377,-0.0225,-25.55,0.720102
3D5S_303,16.12,3D5S,0,11.432959999999994,1.633119345,-0.508315325,0.007101758,0.2877,1674.04,263.049,-27.173,-2.191,-0.2763,-65.63,0.600953
3D5S_304,17.99,3D5S,0,106.547978,1.403028131,-0.760280252,0.010279951,0.474,1174.23,354.646,12.185,-0.119,-0.0284,-43.26,0.257328
3D5S_305,15.39,3D5S,0,4.035199999999998,1.804662347,-0.531655967,0.007141033,0.2542,553.236,310.886,7.059,0.878,-0.158,-56.18,0.466518
3D5S_306,16.85,3D5S,0,64.41488,1.894406915,0.473829806,0.009601466,0.2442,876.581,438.771,0.443,5.03,-0.1679,-52.51,0.551345
3D5S_307,14.72,3D5S,0,78.56306000000001,1.160634995,0.16055952,0.007065983,0.5981,1874.77,577.809,10.512,0.828,0.13,-70.79,0.681621
3D5S_308,15.61,3D5S,0,-22.81981,1.738277316,-0.571048796,0.006465022,0.2441,738.347,336.469,11.534,0.592,-0.1855,-44.09,0.493595
3D5S_309,14.52,3D5S,0,-29.82485,-0.049978375,0.564164996,0.010279951,0.2333,483.712,181.616,19.582,1.868,-0.3654,-61.83,1.076219
3D5S_310,16.92,3D5S,0,-12.8457,1.505312443,-0.508315325,0.008531204,0.2274,120.535,128.971,-9.502,4.428,-0.0426,-29.92,0.620342
3D5S_311,18.24,3D5S,0,38.67634,0.288537025,-0.252063036,0.004921425,0.238,637.182,276.486,10.558,3.402,-0.0488,-33.04,0.510649
3D5S_312,17.75,3D5S,0,14.50457,0.756991684,-1.004213214,0.009994733,0.239,290.665,165.968,-10.862,2.277,-0.0001,-46.6,0.782093
3D5S_313,18.56,3D5S,0,161.30414000000002,0.041358709,-2.154497147,0.010279951,0.2274,1232.94,418.083,-3.334,7.173,-0.315,-55.55,0.717248
3D5S_314,14.89,3D5S,0,99.49598,1.130939007,0.742939711,0.004748169,0.2274,1069.05,366.203,-5.074,1.882,-0.1543,-72.22,0.764077
3D5S_315,17.05,3D5S,0,-41.83188,1.943522096,0.917418778,0.009758676,0.2428,58.8189,96.024,8.127,2.828,-0.0825,-13.57,0.871907
3D5S_316,16.19,3D5S,0,62.54560000000001,1.707966685,0.487238348,0.009004239,0.5204,1829.22,600.087,13.647,3.961,-0.0096,-55.31,0.374857
3D5S_317,17.77,3D5S,0,-36.20155,0.823824286,-1.150608778,0.008368405,0.2742,27.8645,67.479,-1.9,2.616,-0.1043,-14.33,0.607531
3D5S_318,16.89,3D5S,0,137.8087,1.914733887,0.424073696,0.010279951,0.3798,1808.87,515.886,11.118,2.118,-0.0719,-57.92,0.470198
3D5S_319,18,3D5S,0,-15.34142,1.008250475,-0.080534212,0.004779106,0.2342,442.152,253.517,1.476,3.063,-0.0842,-39.62,0.632674
3D5S_320,18.27,3D5S,0,131.17703999999998,1.159390092,-2.105205059,0.009748065,0.2274,1457.1,430.669,-4.429,5.388,-0.336,-61.65,0.478899
3D5S_321,14.5,3D5S,0,62.23644,0.609867215,0.590749919,0.005872829,0.2316,1295.12,409.183,-7.726,3.219,-0.2289,-59.96,0.526573
3D5S_322,17.85,3D5S,0,12.0277,1.37535131,-0.715374053,0.006458019,0.531,848.587,206.041,-5.985,0.483,-0.0735,-22.92,0.603066
3D5S_323,16.13,3D5S,0,-48.349518,0.359158874,-0.252866209,0.00820997,0.2365,116.646,92.362,-10.256,0.243,-0.1853,-20.46,0.491955
3D5S_324,19.13,3D5S,0,16.982779999999998,1.42657733,-0.026795391,0.010279951,0.2298,128.023,145.054,7.139,3.979,-0.0578,-27.74,0.870947
3D5S_325,15.19,3D5S,0,-17.08781,0.008178353,-0.416613817,0.019756664,0.2274,1236.72,289.202,-7.659,-1.595,-0.0218,-40.1,0.516265
3D5S_326,16.41,3D5S,0,37.99232,0.044097543,-0.492702365,0.021917317,0.2926,511.246,185.808,-5.289,-2.458,-0.107,-30.04,0.439084
3D5S_327,19.22,3D5S,0,64.42192,0.568280578,-1.536892653,0.008436089,0.2274,639.152,264.264,-9.204,5.841,-0.0462,-33.23,0.750868
3D5S_328,15.46,3D5S,0,-68.22702,0.215957403,0.932967663,0.010279951,0.2858,487.426,211.482,9.05,1.618,-0.2492,-57.82,0.624941
3D5S_329,17.23,3D5S,0,-3.01791,1.637057066,0.704055548,0.008217659,0.2287,649.956,334.815,-9.977,3.151,-0.1989,-73.4,0.645934
3D5S_330,17.44,3D5S,0,3.320839999999998,1.439723969,0.444421381,0.008304352,0.2316,515.93,312.662,-5.57,2.885,-0.0916,-78.26,0.74692
3D5S_331,16.77,3D5S,0,-38.60948,1.338114977,1.213270187,0.007956264,0.2274,239.237,128.77,3.575,4.193,-0.3194,-44,0.929724
3D5S_332,16.17,3D5S,0,-21.20901,1.824694514,-0.746091247,0.00679764,0.6879,2193,551.81,-17.452,-0.707,-0.4003,-80.7,0.364188
3D5S_333,16.37,3D5S,0,27.757336,1.251929045,0.144891128,0.007275268,0.3274,1257.43,468.204,2.233,1.259,-0.0887,-43.7,0.483477
3D5S_334,17.16,3D5S,0,127.26176,1.848907709,0.814518571,0.010279951,0.5661,1177.14,343.874,31.671,2.834,-0.0347,-32.97,0.74422
3D5S_335,16.62,3D5S,0,-22.25317,0.32398963,-0.315220058,0.010309695,0.315,188.195,110.541,-18.991,0.794,-0.1466,-19.44,0.559753
3D5S_336,13.67,3D5S,0,42.72146,1.653985739,0.31383875,0.008373748,0.2952,801.247,277.7,13.471,1.356,0.0282,-39.42,0.601935
3D5S_337,16.12,3D5S,0,12.6025,1.722655296,-1.35103941,0.0079902,0.2679,517.847,174.917,2.23,-0.784,-0.1274,-24.02,0.606014
3D5S_338,17.5,3D5S,0,61.61762,1.88338232,0.419225693,0.007958625,0.2323,1105.89,420.049,-2.676,2.82,-0.1529,-77.24,0.576126
3D5S_339,14.66,3D5S,0,-17.34146,1.555978298,-0.165150076,0.00690971,0.2328,366.912,150.368,-7.288,1.659,-0.0742,-18.25,0.605524
3D5S_340,15.9,3D5S,0,51.41188,1.142727137,-0.508315325,0.007953133,0.2559,995.037,371.308,-11.742,4.4,-0.2349,-67.07,0.813321
3D5S_341,17.94,3D5S,0,-5.9899,1.931978106,-0.730211556,0.010124404,0.6944,3395.14,650.177,-3.018,-1.125,-0.2483,-34.83,0.211697
3D5S_342,14.86,3D5S,0,49.69969999999999,1.442154646,0.458159924,0.010279951,0.2361,1164.58,324.041,9.777,-0.023,0.037,-37.43,0.634207
3D5S_343,18.91,3D5S,0,113.83105999999998,1.168320417,-2.084064722,0.00454589,0.2274,347.049,244.66,-7.634,5.252,-0.1656,-44.8,0.839099
3D5S_344,17.49,3D5S,0,63.01645,1.229866982,-1.192764759,0.024068054,0.2274,950.443,361.183,3.973,2.313,-0.3038,-49.19,0.476227
3D5S_345,16.76,3D5S,0,-15.0054,1.393544436,1.039148092,0.009872939,0.3386,289.593,219.205,14.254,2.161,-0.0895,-58.54,1.129158
3D5S_346,15.39,3D5S,0,-24.38631,1.389794588,0.992059469,0.00738033,0.2331,250.294,154.236,-8.321,-0.007,-0.0039,-23.49,0.825962
3D5S_347,19.75,3D5S,0,-30.07191,1.038901806,-0.103186391,0.010279951,0.2513,199.185,103.739,17.95,1.35,-0.0335,-54,0.636328
3D5S_348,18.89,3D5S,0,105.12976,1.360001206,-1.599887967,0.008101285,0.2274,456.259,216.634,-3.326,1.956,-0.086,-52.6,0.797068
3D5S_349,16.04,3D5S,0,117.0327,1.119680285,-0.622538745,0.006636841,0.6971,2700.06,512.109,-20.468,-1.897,-0.2579,-84.29,0.305383
3D5S_350,16.78,3D5S,0,95.52629999999998,1.062551975,0.881857693,0.010095504,0.2274,524.234,280.502,-5.245,6.738,-0.0151,-36.25,0.581754
3D5S_351,16.64,3D5S,0,22.317298,1.093768477,0.29822439,0.006687249,0.2761,1297.87,461.735,3.783,0.546,-0.1378,-47.47,0.578627
3D5S_352,17.99,3D5S,0,8.150079999999999,0.460474491,2.345017672,0.00716658,0.2274,243.764,175.446,-14.741,5.688,-0.1697,-45.54,0.571919
3D5S_353,14.76,3D5S,0,-48.84955,1.666239858,-0.026795391,0.006422223,0.2339,114.499,101.239,-6.266,1.847,-0.1277,-17.82,0.57879
3D5S_354,16.94,3D5S,0,-29.39306,1.826547384,0.902390301,0.008101457,0.2388,426.03,227.469,13.343,3.51,-0.0887,-36.39,0.900755
3D5S_355,14.77,3D5S,0,30.519348,1.67157948,0.02842327,0.005550893,0.4907,1391.46,397.624,20.029,0.324,0.1185,-36.88,0.457979
3D5S_356,16.37,3D5S,0,-0.9433,0.764690995,-0.821180582,0.010279951,0.6785,418.856,214.902,4.348,-1.263,-0.0727,-28.6,0.299584
3D5S_357,19.94,3D5S,0,53.4893,1.244462729,-0.461574107,0.006820221,0.2437,640.16,364.002,5.967,4.751,-0.0076,-73.34,0.67922
3D5S_358,13.32,3D5S,0,90.22029000000002,1.018511176,0.066166133,0.009604922,0.4841,1228.39,414.184,22.795,0.258,-0.0897,-51.17,0.499637
3D5S_359,18.76,3D5S,0,62.333000000000006,1.232627392,-0.912671328,0.020011079,0.2274,164.6,123.688,-8.484,3.199,-0.1603,-45.01,0.589812
3D5S_360,14.43,3D5S,0,193.86138,0.023743033,0.646020949,0.010279951,0.326,1341.3,550.389,7.816,1.605,0.0581,-63.93,0.690756
3D5S_361,21.03,3D5S,0,-43.70943,1.953964114,-0.470976293,0.006946477,0.2385,-115.646,30.141,-11.119,2.552,-0.1367,-26.06,0.734974
3D5S_362,14.47,3D5S,0,17.02288,1.061129212,0.741186917,0.003634932,0.2274,876.247,332.343,-2.727,2.928,-0.1354,-67.93,0.776359
3D5S_363,14.47,3D5S,0,-47.32458,0.908704162,0.892101467,0.007169811,0.2274,273.075,173.001,-9.88,3.671,-0.2254,-36.56,0.784257
3D5S_364,16.83,3D5S,0,-22.70179,1.029924273,-1.069065332,0.006110521,0.2616,606.044,219.281,-12.817,1.582,-0.0425,-28.17,0.471936
3D5S_365,16.59,3D5S,0,-73.27278,0.413824797,-0.674752057,0.015308751,0.2979,18.517,50.531,-9.154,-1.102,-0.1362,-15.29,0.513945
3D5S_366,17.69,3D5S,0,19.98543,1.383046269,1.063570261,0.009494669,0.2274,31.0901,80.873,-0.84,6.341,-0.0146,-18.98,0.835275
3D5S_367,17.74,3D5S,0,-54.18099,1.648507833,0.685630322,0.010279951,0.3335,331.705,187.859,12.816,1.755,-0.0327,-44.39,0.924058
3D5S_368,19.27,3D5S,0,156.28492000000003,1.102123022,-0.674727082,0.010279951,0.2888,1275.23,469.123,14.412,2.047,-0.0957,-77.87,0.675881
3D5S_369,19.88,3D5S,0,-10.9423,1.952725649,-1.478444099,0.006869326,0.2804,746.629,309.659,10.777,3.641,-0.0962,-62.53,0.661148
3D5S_370,16.57,3D5S,0,10.309819999999998,0.05464673,-0.845531166,0.010010699,0.2633,130.804,144.508,-0.357,0.658,-0.0935,-23.8,0.431176
3D5S_371,17.13,3D5S,0,-48.12622,0.529763103,-0.461574107,0.004484387,0.2695,360.681,197.184,-5.292,3.021,-0.1664,-56.36,1.0269
3D5S_372,18.79,3D5S,0,50.7708,1.195564508,-1.849939942,0.009861383,0.2274,1316.32,455.208,-6.758,7.71,-0.3324,-59.07,0.779676
3D5S_373,18.64,3D5S,0,9.52127,0.015152574,-0.068497665,0.010279951,0.2907,923.174,349.569,36.758,4.202,-0.1851,-74.2,0.880643
