PDB,label,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,PIsToN,GNN-DOVE,DeepRank-GNN,dMaSIF
1KL8-model-8-neg,0,1KL8,-37.33909,-79.6503,-3.49,-23.213,0.049,-0.1528,-23.43,0.626061,0.988854051,0.3798,0.00723319,0.109660767
1KXJ-model-98-neg,0,1KXJ,-47.3968,-41.2723,4.307,-10.745,-0.303,0.1145,11.76,0.377731,1.866518259,0.2649,0.010279951,0.415916115
1KXJ-pos,1,1KXJ,-104.922,-142.817,-3.555,-14.375,-1.369,-0.2215,-2.8,0.6324,1.326322556,0.4103,0.00523039,-0.115309954
1KXP-model-1-pos,1,1KXP,-294.3238,800.141,103.156,13.513,-8.332,0.1203,44.75,0.286445,-1.726130009,0.2583,0.007543828,2.12972188
1KXP-model-4-neg,0,1KXP,-72.9999,-484.674,-12.874,-65.131,5.868,-0.6906,-95.55,2.613087,1.938416839,0.2559,0.002169142,-0.563349307
1L0A-model-1-pos,1,1L0A,-145.9518,-110.659,0.024,-21.158,7,-0.2143,-11.01,0.684288,-1.848992229,0.4442,0.009120267,0.226139754
1L0A-model-7-neg,0,1L0A,-80.70615,-341.394,-6.991,-39.573,2.777,-0.4779,-75.49,1.431413,1.692514181,0.3421,0.004597446,-1.10732007
1L2W-model-2-pos,1,1L2W,-104.7412,-53.3045,-0.762,-21.966,7.342,-0.1697,1.53,0.678968,-1.86873281,0.3737,0.010279951,0.448920995
1L2W-model-66-neg,0,1L2W,116.40778,-107.281,23.035,-45.441,17.391,-0.4072,-86.77,2.138026,1.941725731,0.3195,0.00484235,0.129068986
1L4Z-model-2-pos,1,1L4Z,-85.31452,-47.7545,-0.157,-16.709,-1.571,0.0121,-0.29,0.595629,-0.079555035,0.2411,0.035439633,1.870136738
1L4Z-model-26-neg,0,1L4Z,-31.33064,-154.426,-6.724,-31.069,4.081,-0.1697,-16.89,0.959191,1.846490502,0.2341,0.005358208,-1.272894263
1LDT-model-1-pos,1,1LDT,-105.12285,-41.4642,-1.101,16.942,-3.234,-0.0013,18.28,0.016819,-1.738878489,0.5538,0.010279951,0.794313967
1LDT-model-72-neg,0,1LDT,13.87677,-180.042,-8.47,-9.898,2.938,-0.2882,-39.15,1.122657,1.950864911,0.2872,0.010279951,-1.096534252
1LK6-model-14-neg,0,1LK6,-29.292,-13.9056,-0.354,0.866,-2.691,-0.1302,5.25,0.022673,0.766458213,0.2999,0.016680453,0.607649207
1LK6-model-2-pos,1,1LK6,-83.19446,417.978,47.821,2.184,-4.661,-0.2311,-63.34,0.844282,-1.831575632,0.6416,0.01400183,1.65155983
1LW6-model-33-neg,0,1LW6,-25.179636,-53.7784,-2.054,-2.362,1.292,-0.1573,-1.81,0.322876,-0.018422484,0.268,0.006651117,0.272773385
1LW6-model-99-pos,1,1LW6,-51.8242,-64.2121,-2.073,-13.142,0.811,-0.0743,-4.62,0.531937,1.799244523,0.2274,0.004574031,0.940657735
1M1F-model-14-pos,1,1M1F,-93.77299,-13.0747,1.787,1.113,-0.751,-0.049,-9.72,0.614134,0.944221854,0.2655,0.009854344,0.258883715
1M1F-model-17-neg,0,1M1F,-66.91357,-102.108,-1.869,-27.14,2.929,-0.1312,-24.46,0.513958,1.849154234,0.314,0.010279951,-0.855954528
1MAS-model-1-pos,1,1MAS,-113.9528,29.5955,16.938,-6.699,5.197,-0.0884,-9.04,0.669404,-1.194297194,0.2274,0.005846275,-0.04319831
1MAS-model-99-neg,0,1MAS,-67.32605,-135.028,-2.978,-8.263,8.363,-0.3378,-49.4,1.228754,1.697344899,0.2274,0.005473053,0.335163414
1MBY-model-17-neg,0,1MBY,-72.73244,-188.861,-0.889,-30.994,17.708,-0.2259,-52.44,1.159674,0.579931378,0.2791,0.160422117,0.631477773
1MBY-model-2-pos,1,1MBY,-60.56338,-189.457,-5.926,-25.9,14.653,-0.4128,-80.17,1.538013,0.10198462,0.4272,0.025939651,1.283738732
1MK9-model-2-pos,1,1MK9,-77.791,-88.4551,-1.224,-14.608,3.044,-0.0459,-1.11,0.384465,1.186414242,0.256,0.022975069,0.42623958
1MK9-model-50-neg,0,1MK9,-43.35398,-137.96,-7.04,-27.151,3.086,-0.0669,-32.77,0.670198,1.797294021,0.2496,0.007240187,0.782404661
1ML0-model-16-pos,1,1ML0,-68.9088,56.9761,19.568,-17.174,-0.94,0.0038,6.65,0.589892,-1.100813866,0.3674,0.003448793,1.371117949
1ML0-model-44-neg,0,1ML0,-41.095552,-134.619,-6.957,-24.515,-2.429,-0.2948,-42.38,0.72759,1.935335636,0.3207,0.005377508,-0.952827811
1MR1-model-1-pos,1,1MR1,-151.061,22.1197,27.907,-1.372,-1.318,-0.0866,-4.91,0.535131,-1.548443198,0.2636,0.010279951,0.693200648
1MR1-model-73-neg,0,1MR1,-70.0941,-277.795,-5.874,-37.253,5.242,-0.1534,-54.61,1.370191,1.022529602,0.344,0.009304523,-0.087380938
1MZW-model-1-pos,1,1MZW,-108.9755,-58.6432,-1.528,-2.049,0.984,-0.0059,4.45,0.208033,-1.024292827,0.3631,0.005915153,-0.389399618
1MZW-model-81-neg,0,1MZW,34.99005999999999,-211.173,-5.585,-27.222,3.303,-0.2774,-24.64,0.603307,1.773636341,0.2875,0.00763419,-0.867343128
1N0L-model-58-neg,0,1N0L,-19.54974,60.3182,12.386,4.864,-4.847,-0.1005,14.74,0.405052,1.936841488,0.308,0.00566317,-0.801159859
1N0L-model-71-pos,1,1N0L,-41.06234,105.073,25.253,-1.261,-3.017,-0.0401,-12.63,0.485463,1.671932936,0.2817,0.007734909,0.127522781
1NQ9-model-75-neg,0,1NQ9,-53.70956,1760.34,136.92,55.889,-9.469,0.0711,54.85,-0.175194,1.939794421,0.2631,0.007446915,-0.067141302
1NQ9-model-92-pos,1,1NQ9,-71.94366,596.065,5.03,4.578,0.758,-0.1389,-7.89,0.502569,1.292999744,0.2274,0.004160264,0.693343639
1NQL-model-2-pos,1,1NQL,-103.957042,580.198,1.094,-13.502,8.823,-0.2189,-13.22,0.989317,0.010641932,0.5223,0.003549275,1.701923132
1NQL-model-9-neg,0,1NQL,-84.08742,601.812,-4.244,-7.792,6.586,-0.3866,-75.08,1.569414,1.574229717,0.3419,0.006122091,0.676233172
1NR9-model-50-pos,1,1NR9,-111.488,-16.7318,4.277,-4.953,-1.537,0.001,10.49,0.441083,1.09521389,0.2307,0.007464589,1.282009602
1NR9-model-73-neg,0,1NR9,-53.734246,-182.108,30.65,-41.892,4.863,-0.1716,-16.14,0.673889,1.935310602,0.2385,0.005633784,-1.827928066
1NU9-model-10-pos,1,1NU9,-121.1057,-67.1032,0.483,9.992,-1.163,0.0483,29.15,0.902383,-0.399672985,0.5171,0.006445449,0.757971942
1NU9-model-16-neg,0,1NU9,-68.819,-146.427,8.164,-23.89,-2.16,-0.1742,-63.16,1.078299,1.914566994,0.2531,0.304128557,-1.268017173
1O9Y-model-1-pos,1,1O9Y,-299.017343,-85.3758,-0.595,-16.179,-1.108,-0.2092,-59.08,0.763285,-1.882848382,0.1468,0.13733314,1.465238094
1O9Y-model-8-neg,0,1O9Y,-21.226822,-475.337,-32.174,-41.593,17.31,-1.621,-401.49,5.646165,1.397830725,0.3421,0.008099682,-0.176427349
1OMO-model-3-pos,1,1OMO,-155.6389,-132.838,8.273,-43.207,17.848,-0.27,-37.12,1.370272,-1.780316234,0.1662,0.013706648,2.207737446
1OMO-model-33-neg,0,1OMO,-99.90048,-264.505,4.211,-66.949,22.42,-0.5761,-53.59,2.426745,0.756527007,0.1317,0.070033453,1.547354221
1OS2-model-100-neg,0,1OS2,45.93509,-90.0215,-2.649,-3.418,0.326,0.0174,12.45,0.36616,1.923316479,0.2776,0.004655909,-0.439202935
1OS2-model-11-pos,1,1OS2,-65.136,-176.495,-4.542,-8.606,8.609,-0.2587,-10.46,0.961615,1.169484615,0.2274,0.036993347,0.723604083
1OSM-model-1-pos,1,1OSM,-225.8707,-258.885,-1.301,-44.568,47.239,-0.5872,-71.28,2.829132,-1.838156939,0.5962,0.010279951,0.901433468
1OSM-model-73-neg,0,1OSM,-85.54866,-422.45,-14.391,-57.141,33.591,-0.6763,-94.76,3.045449,1.527350664,0.2274,0.006513598,0.201266825
1OX9-model-21-neg,0,1OX9,-43.49381,-76.0989,-1.809,-14.273,-0.298,-0.1913,-2.17,0.42581,0.670178831,0.3242,0.010022652,0.896702588
1OX9-model-22-pos,1,1OX9,-36.3368,-33.5748,-1.132,-5.336,0.836,-0.1341,-17.85,0.296773,0.993579507,0.3001,0.008376569,0.322950125
1P3H-model-56-pos,1,1P3H,-39.49121,-78.8292,5.294,-3.875,-3.932,-0.1765,-18.96,0.664521,0.025212646,0.2977,0.010279951,1.578049541
1P3H-model-76-neg,0,1P3H,-46.6383,440.936,58.169,3.141,-1.883,-0.2026,-20.54,0.861113,0.429467201,0.2498,0.005896742,1.309877515
1P69-model-97-neg,0,1P69,-38.19926,221.065,17.806,-6.624,-6.576,-0.0394,-8.37,0.521754,1.305865169,0.2274,0.00908151,-0.841397107
1P69-pos,1,1P69,-76.851,-201.501,-4.652,-13.916,-0.636,-0.2516,-34.9,1.227075,-0.50823307,0.2483,0.007106881,-0.371957481
1P9U-model-3-pos,1,1P9U,-46.360307,2.95577,6.932,4.703,-2.044,-0.0221,-6.65,0.171191,0.343687177,0.4051,0.008366295,1.384915352
1P9U-model-60-neg,0,1P9U,-15.01182,129.402,26.135,-12.848,-1.705,-0.2123,-34.21,0.310292,0.854825616,0.2976,0.015854768,0.481757134
1PBI-model-1-pos,1,1PBI,-245.96856,316.664,68.569,2.87,5.57,0.037,-32.29,0.13508,-1.811524868,0.5281,0.010279951,1.723456979
1PBI-model-61-neg,0,1PBI,-45.42341,-375.713,-1.708,-50.469,8.039,-0.5913,-116.32,1.913961,0.779435754,0.2739,0.008310902,-0.565523922
1PGL-model-2-pos,1,1PGL,3307035.959,-130.71,-1.23,-28.708,5.992,-0.1662,-18.67,1.134727,-1.910811782,0.2274,0.007626132,1.796910286
1PGL-model-36-neg,0,1PGL,-87.10396,307.642,157.026,-40.39,19.329,0.124,-110.05,1.434325,1.253449678,0.24,0.005685288,0.166670144
1PPE-model-51-neg,0,1PPE,-54.62533,-50.4601,-2.194,-11.257,0.763,-0.0024,-6.05,0.237654,1.288690805,0.2417,0.016681034,-0.308332086
1PPE-model-9-pos,1,1PPE,-51.10904,-88.8197,1.465,6.06,4.423,-0.0746,-13.52,0.245233,1.441366553,0.3774,0.011214417,0.804090619
1PVH-model-1-pos,1,1PVH,-113.6535,-85.3323,-1.807,-6.654,2.306,-0.1135,10.88,0.945498,1.013118744,0.3992,0.059371974,0.563702464
1PVH-model-15-neg,0,1PVH,-55.11806,-129.638,-6.709,-27.82,2.311,-0.2143,-13.78,0.654803,1.426654816,0.251,0.008887952,1.026561499
1Q1L-model-15-neg,0,1Q1L,-97.95562,-112.406,-2.513,-20.065,15.935,-0.1546,-10.67,1.009125,0.792637885,0.2274,-0.041995499,0.350331038
1Q1L-model-3-pos,1,1Q1L,-140.00974,-228.76,1.452,-51.066,4.258,-0.5534,-56.62,1.788711,-1.904089808,0.51,-0.041995499,1.480073333
1Q5H-model-1-pos,1,1Q5H,-298.1596,294.071,90.135,14.316,-2.166,-0.0595,14.18,0.737323,-1.906424761,0.335,0.032904375,1.418094158
1Q5H-model-51-neg,0,1Q5H,-62.3263,-605.133,-26.325,-105.931,23.896,-1.0022,-160.44,3.255311,1.646139622,0.2546,0.008323316,-0.655836344
1Q8M-model-27-neg,0,1Q8M,27.710172,-45.1573,-0.768,-6.706,-0.122,-0.0861,18.29,0.357207,1.947589517,0.2288,0.00497181,-0.714838088
1Q8M-model-7-pos,1,1Q8M,-74.1962,-154.292,0.261,-34.822,-0.868,-0.1426,-40.79,0.938441,1.277170539,0.3249,0.00436127,0.549810529
1Q9U-model-1-pos,1,1Q9U,-282.0322,-126.054,18.945,-28.401,16.318,-0.0934,-16.09,0.901456,-1.881080866,0.2572,0.010279951,2.079164028
1Q9U-model-14-neg,0,1Q9U,-124.2583,-821.809,-23.879,-121.867,39.94,-1.1242,-158.4,5.070266,1.236262321,0.3562,0.007891336,-0.464220047
1QB3-model-1-pos,1,1QB3,-364.5054,19.442,13.338,-20.468,8.397,-0.071,-6.24,0.857221,-1.770711541,0.6106,0.061492082,1.341447949
1QB3-model-54-neg,0,1QB3,-67.68233,-872.484,-13.017,-105.467,43.082,-0.8641,-309.04,4.700294,1.047299623,0.2659,0.006665858,-0.896630764
1R0K-model-23-pos,1,1R0K,-122.4411,-32.9036,33.805,0.326,0.482,-0.1743,-6.17,0.774726,-0.940580666,0.2274,0.008200064,2.967953682
1R0K-model-56-neg,0,1R0K,-100.1831,-140.005,13.74,-35.784,8.681,-0.2731,-71.38,1.885281,1.961471081,0.2274,0.005797278,-1.771977901
1R0R-model-1-pos,1,1R0R,-124.7155,-15.705,0.998,6.444,-3.136,-0.1291,1.17,0.353518,-1.760906219,0.5926,0.010279951,1.182630777
1R0R-model-52-neg,0,1R0R,-50.23267,-170.307,-11.165,-29.78,2.194,-0.4558,-60.01,1.057964,1.931016922,0.3475,0.003744391,-0.03563159
1R7A-model-1-pos,1,1R7A,-214.46192,-84.157,1.259,26.634,-5.606,-0.1023,19.5,0.511595,-1.845469832,0.2274,0.004056206,2.839515448
1R7A-model-6-neg,0,1R7A,-99.84803,-243.421,-9.908,-8.11,7.131,-0.5715,-66.52,1.65554,1.822175622,0.238,0.003313823,-1.0956949
1R9N-model-51-neg,0,1R9N,-27.473504,-58.3308,-0.788,2.852,4.796,-0.0454,22.09,0.274928,0.111539483,0.2943,0.006138539,1.063617468
1R9N-model-67-pos,1,1R9N,-30.52564,-79.6286,5.577,-7.933,5.536,-0.0397,-2.72,0.249117,0.306184888,0.2802,0.00391338,0.965721786
1RY7-model-1-pos,1,1RY7,-163.973,227.666,35.637,-6.219,12.653,0.266,-2.92,0.514271,-0.43959105,0.3969,0.009906153,1.137607574
1RY7-model-27-neg,0,1RY7,-78.73518,167.977,-13.021,-47.204,18.621,-0.4806,-83.69,1.966191,1.776274681,0.1426,0.010131448,-0.130550101
1RZJ-model-1-pos,1,1RZJ,-160.85812,-97.1977,5.281,8.324,-8.809,-0.0361,23.58,0.684045,-1.389161587,0.2354,0.003866835,0.742557168
1RZJ-model-10-neg,0,1RZJ,-84.7033,-180.908,-7.341,-25.239,-4.325,-0.3315,-36.06,0.913202,1.949308395,0.3162,0.004334747,-1.306195378
1S1Q-model-1-pos,1,1S1Q,-87.92487,-41.1806,-0.182,-11.735,-1.679,-0.0282,29.07,0.452793,0.087399125,0.2274,0.03882876,-0.217962608
1S1Q-model-86-neg,0,1S1Q,-8.22688,-92.2837,-5.322,-13.665,-1.643,-0.1248,-22.87,0.538455,1.94723928,0.2986,0.008509934,-0.05029805
1S4C-model-19-pos,1,1S4C,-77.07616,-179.976,7.666,-27.332,6.909,-0.2066,-37.83,1.178582,0.168784857,0.2682,0.015397685,1.999866128
1S4C-model-46-neg,0,1S4C,-80.9886,-152.625,-2.948,-25.074,0.929,-0.3026,-16.51,1.082643,1.646607876,0.3288,0.008534815,1.194265008
1S98-model-1-pos,1,1S98,-127.6478,425.694,5.442,7.748,-0.32,-0.0532,3.94,0.449923,-1.717926502,0.4059,0.156318843,0.895724177
1S98-model-27-neg,0,1S98,-58.5061,-307.353,-12.784,-35.713,5.927,-0.4175,-84.29,2.021965,1.780668616,0.3149,0.005782949,-2.079091787
1SCE-model-1-pos,1,1SCE,-372.6357,-104.72,0.328,5.818,12.5,-0.0743,2.38,0.400447,-1.56969893,0.2525,0.084159881,2.090080976
1SCE-model-29-neg,0,1SCE,-78.28872,-752.974,-40.019,-79.893,44.351,-1.1654,-260.27,4.579737,1.265981197,0.3127,0.006129583,-1.234455228
1SHS-model-28-pos,1,1SHS,-79.67841,-13.814,11.178,-34.627,2.271,-0.1126,-23.89,0.573476,-0.906287074,0.2607,0.070991829,1.134395242
1SHS-model-65-neg,0,1SHS,-71.397328,-162.607,-5.893,-11.526,-3.45,-0.2304,-50.69,0.994304,-0.501712322,0.363,0.009010709,-1.778678298
1SHW-model-13-pos,1,1SHW,-90.8765,-39.6892,11.338,-0.847,-5.526,-0.1963,-3.9,0.283978,0.054881215,0.503,0.009161213,0.782638431
1SHW-model-40-neg,0,1SHW,-46.4259,-155.223,12.336,-36.343,13.202,-0.2715,-9.69,1.01561,1.954318643,0.3823,0.006367418,-1.041475058
1SHY-model-37-neg,0,1SHY,-47.63308,-22.3531,0.535,14.607,-5.003,0.0925,40.96,0.271978,1.930374384,0.2383,0.005567259,-1.013801575
1SHY-model-59-pos,1,1SHY,-93.20579,123.256,18.38,-31.866,1.444,-0.4041,-29.98,1.032752,0.935222387,0.2274,0.004709024,-0.040925376
1SMF-model-1-pos,1,1SMF,-79.95685,-17.6066,-1.059,1.488,-0.981,-0.028,-5.19,0.246987,-1.004397273,0.4254,0.005921828,1.250405908
1SMF-model-17-neg,0,1SMF,-29.138895,-138.49,-5.912,-10.472,2.34,-0.3126,-39.87,0.908191,1.41946578,0.3062,0.003801493,-0.100867338
1SMO-model-18-pos,1,1SMO,-80.11297,-45.0796,-0.443,-3.964,-1.868,-0.0163,-0.35,0.167359,-1.540048122,0.2545,0.007369597,0.61905694
1SMO-model-83-neg,0,1SMO,-48.87819,-93.8611,-1.175,-6.442,-1.287,-0.117,7.56,0.617684,1.940116405,0.2675,0.006980647,-0.1368379
1SOT-model-19-neg,0,1SOT,-53.6243,7.55481,12.969,-4.734,-3.669,0.0018,23.14,0.598521,1.924840331,0.259,0.008322243,-0.310153127
1SOT-model-42-pos,1,1SOT,-71.06656,-38.2929,5.061,-8.354,2.274,-0.2053,-23.54,0.774195,-1.424414873,0.2963,0.006905717,0.263315767
1SUW-model-24-pos,1,1SUW,-75.48724,-184.785,-0.067,-19.725,3.794,-0.204,1.95,1.005372,0.764569938,0.2274,0.006522866,2.057160139
1SUW-model-70-neg,0,1SUW,-87.554,-187.128,1.094,-25.003,12.391,-0.304,-6.1,0.973331,1.123135567,0.2287,0.007239791,-0.814070106
1T0H-model-13-neg,0,1T0H,-68.14337,1262.8,31.393,-15.154,3.535,-0.1547,2.36,0.746709,1.882857323,0.2643,0.009447897,-0.173345312
1T0H-model-8-pos,1,1T0H,-36.958334,-147.285,-2.626,-28.399,6.056,-0.1811,-31.72,0.859326,0.047934771,0.3118,0.082557231,1.851469278
1T0P-model-1-pos,1,1T0P,-102.31131,294.975,18.385,5.535,-1.519,0.0817,25.56,-0.096455,0.44886148,0.2371,0.005893055,-0.327221334
1T0P-model-22-neg,0,1T0P,-54.0521,-90.5886,-5.279,-14.452,-1.543,-0.2804,-21.91,0.862297,1.950624943,0.2274,0.003930727,-0.332622021
1T7P-model-3-pos,1,1T7P,-76.61864,135.365,11.362,17.916,0.858,0.1845,18.89,0.42787,0.418640733,0.311,0.004835031,1.666031837
1T7P-model-31-neg,0,1T7P,-61.11254,-220.208,-3.671,-19.818,5.91,-0.2979,-35.48,0.82539,1.944042444,0.2484,0.0060759,-0.387042075
1T8U-model-1-pos,1,1T8U,-282.10891,1458.2,0.357,59.478,-3.525,0.0791,27.73,0.349224,-1.733365536,0.414,0.010279951,-0.190422818
1T8U-model-35-neg,0,1T8U,-101.4276,-241.033,-13.193,-9.093,-10.212,-0.1072,-79.78,1.771124,1.933117151,0.2636,0.004494486,-0.904919207
1TAW-model-20-pos,1,1TAW,-19.77431,-98.0313,0.212,-4.514,-0.846,-0.0096,6.43,0.57705,0.00080514,0.3692,0.006442597,1.132441401
1TAW-model-62-neg,0,1TAW,-9.71545,-88.4736,11.288,-12.404,7.436,-0.4,-36.22,0.927325,1.940693617,0.3472,0.006517517,-0.1052614
1TE1-model-13-pos,1,1TE1,-85.98711,-122.727,-1.404,-15.072,1.784,-0.1657,-1,0.753401,-1.729415417,0.2881,0.009905574,0.622953653
1TE1-model-65-neg,0,1TE1,-67.03247,-120.146,-3.157,-11.701,-0.105,-0.143,-12.6,0.872855,1.707024574,0.2542,0.009111656,0.157670796
1TM3-model-53-neg,0,1TM3,-11.52248,-11.5344,-0.769,2.021,0.308,-0.0421,16.86,0.21181,1.961057663,0.2335,0.005596626,0.643061996
1TM3-model-87-pos,1,1TM3,-73.11324,-91.0235,-0.24,-20.426,1.768,-0.1518,-16.32,0.803842,1.56716001,0.2337,0.009174982,1.094998956
1TM4-model-90-neg,0,1TM4,-34.52967,-40.9797,-0.784,10.14,-1.668,-0.0591,29.3,0.211414,1.879185796,0.283,0.006108463,-1.775411606
1TM4-model-93-pos,1,1TM4,-71.76584,0.922611,13.72,-22.238,2.29,-0.237,-33.87,1.033181,0.001243353,0.23,0.01116249,1.105521083
1TM5-model-2-neg,0,1TM5,-51.35975,-19.0954,23.297,6.685,-1.053,-0.0349,18.33,0.524546,1.947383761,0.2823,0.007037072,-1.376434922
1TM5-model-9-pos,1,1TM5,-79.11894,331.221,65.752,-24.673,1.612,-0.2773,-50.75,1.072848,-0.017086744,0.23,0.018562362,1.205816627
1TO1-model-17-pos,1,1TO1,-72.981038,-48.403,-0.576,-8.347,0.931,-0.1482,7.04,0.415463,1.744393229,0.2323,0.009661937,1.282405376
1TO1-model-79-neg,0,1TO1,-42.77146,-82.5859,8.038,-20.095,2.381,-0.3483,-34.5,1.054576,1.864263415,0.2274,0.007609381,-1.203636289
1TZS-model-20-neg,0,1TZS,-64.989285,19.3583,17.309,-20.106,0.95,-0.0091,-21.67,0.334163,0.076613545,0.3001,0.006960691,0.694004655
1TZS-model-81-pos,1,1TZS,-50.2763,-77.5515,0.904,-18.372,3.86,-0.248,-40.62,0.679565,0.582473397,0.3625,0.006420046,1.223146558
1U20-model-36-neg,0,1U20,13265.37834,1241.03,279.603,13.074,0.434,0.0897,-7.37,0.725549,1.962385774,0.2812,0.006421296,-2.596386671
1U20-model-8-pos,1,1U20,148.24556,-203.43,5.487,-29.436,12.15,-0.1548,-34.41,1.696612,0.82849437,0.2596,0.010279951,1.244210958
1UAN-model-1-pos,1,1UAN,-226.5101,-90.8322,-2.093,2.245,3.889,0.0125,15.54,0.500817,-1.93029809,0.281,0.098490633,3.424242735
1UAN-model-45-neg,0,1UAN,-42.17187,-664.955,-22.774,-88.955,34.432,-0.8438,-191.5,3.806558,1.788269997,0.2274,0.006245127,-1.051179647
1UDI-model-81-pos,1,1UDI,-64.47145,-59.8696,1.047,1.171,-0.135,-0.0187,15.78,0.175539,0.877008438,0.3196,0.010279951,-0.192808822
1UDI-model-88-neg,0,1UDI,-30.14657,-47.9128,29.152,-27.057,2.893,-0.2778,-17.35,0.810971,1.466368675,0.2286,0.005557915,-1.806198835
1UE7-model-2-pos,1,1UE7,-53.37259,-78.7276,-0.5,-4.748,-0.57,-0.0747,5.15,0.392322,0.998099864,0.3505,0.010279951,0.703896284
1UE7-model-93-neg,0,1UE7,-49.54331,-118.308,-3.883,4.745,3.013,-0.2822,-52.4,1.76538,1.959172606,0.2398,0.00666526,-1.589802265
1UGH-model-1-pos,1,1UGH,-171.53508,137.363,38.168,1.307,0.179,-0.0587,19.15,0.346233,-1.8132658,0.5836,0.010279951,1.073770285
1UGH-model-17-neg,0,1UGH,-64.0065,-273.335,-8.833,-50.99,9.214,-0.5096,-73.46,1.777559,1.802764297,0.2628,0.009306887,-1.332763791
1UHE-model-5-pos,1,1UHE,-38.92953,-53.0179,2.315,-5.045,1.261,-0.0662,-6.15,0.376716,-1.884827852,0.362,0.038725615,1.216198087
1UHE-model-61-neg,0,1UHE,-13.214,191.462,105.313,-32.724,-0.936,-0.59,-179.59,2.164958,1.46706152,0.3411,0.009990129,-1.190669775
1UK4-model-30-pos,1,1UK4,-28.73201,-35.4851,-0.534,-6.416,-0.091,-0.0845,-0.73,0.168971,0.593891382,0.3202,0.006390164,1.108256221
1UK4-model-48-neg,0,1UK4,-19.52269,-4.57805,-0.723,-2.993,-2.624,-0.0309,-12.2,0.200093,0.703477979,0.263,0.008319282,0.697294831
1UM2-model-61-pos,1,1UM2,7.673259999999999,-80.8763,0.479,-11.679,4.078,-0.0955,-9.76,0.240881,1.326198936,0.3268,0.045713332,0.247611225
1UM2-model-63-neg,0,1UM2,-44.13161,-20.5171,0.924,-6.535,-1.113,-0.0415,-0.73,0.368469,0.93252492,0.3202,0.005722359,0.03659245
1UP6-model-3-pos,1,1UP6,-124.5215,1073.84,132.81,4.065,-1.586,-0.0976,57.46,0.461565,-0.121726751,0.2274,0.016883608,0.96169579
1UP6-model-35-neg,0,1UP6,-66.28814,-290.688,-7.445,-24.506,1.806,-0.2941,-19.93,1.098121,1.946945071,0.2274,0.004851181,-0.930649996
1UUG-model-1-pos,1,1UUG,-180.736,-40.3123,3.634,-9.622,-1.908,-0.0301,1.14,0.317272,-1.219946623,0.5461,0.033754271,0.878088176
1UUG-model-87-neg,0,1UUG,-28.75791,-232.95,-9.118,-56.806,7.971,-0.6136,-64.46,1.708885,0.405950904,0.2315,0.007266489,-0.018931741
1UWG-model-2-pos,1,1UWG,-100.5845,313.815,53.838,-5.914,2.697,-0.0736,-23.68,0.843179,-1.753656626,0.3981,0.06110901,-0.08287777
1UWG-model-70-neg,0,1UWG,-67.4677,-173.692,-4.291,-4.32,2.729,-0.4257,-35.69,0.559413,1.911125183,0.296,0.004775208,-1.416108012
1VG9-model-1-pos,1,1VG9,-143.70827,88.0878,23.166,-0.938,0.032,0.0419,34.44,0.933157,-1.521400809,0.2605,0.005054593,1.116363406
1VG9-model-4-neg,0,1VG9,-72.9626,-264.463,-8.854,-29.426,2.173,-0.3106,-75.28,1.507056,1.939505458,0.239,0.004666253,0.381821573
1VGO-model-57-neg,0,1VGO,-111.184914,-178.561,62.394,-65.786,67.321,-0.5235,-70.16,2.377487,1.786693215,0.2649,0.088336207,-1.20435524
1VGO-pos,1,1VGO,-90.712,-116.969,-3.968,5.132,2.161,-0.1294,10.45,0.601564,1.919925451,0.2145,0.007080768,1.247613668
1VS3-model-23-neg,0,1VS3,70.1361,-107.112,-0.573,-5.414,-5.193,-0.0999,23.88,0.366689,1.938567996,0.2442,0.007276404,-0.853055537
1VS3-model-6-pos,1,1VS3,-53.769,-84.8686,17.934,-23.212,0.227,-0.3052,-44.68,1.013463,-1.64107132,0.2713,0.005508586,1.000563264
1VZY-model-1-pos,1,1VZY,-170.67392,300.93,63.054,-3.927,-2.49,-0.1984,-3.32,0.857046,-0.545009136,0.2833,0.005291475,0.689362109
1VZY-model-55-neg,0,1VZY,-109.56391,-337.12,-10.058,-8.897,1.677,-0.2178,-37.65,1.317916,1.815825105,0.2732,0.008542463,0.040835012
1W1I-model-17-pos,1,1W1I,-81.5613,10.2824,36.515,-3.036,-3.087,-0.1509,17.16,0.570372,1.918237925,0.2296,0.003434767,-0.714051962
1W1I-model-28-neg,0,1W1I,557.4644,-178.442,-5.403,-2.788,-1.161,-0.2325,17.7,0.622065,1.955413938,0.2346,0.004343158,-0.733157098
1WDX-model-32-pos,1,1WDX,-13.298,-155.338,2.047,-10.731,5.401,-0.042,-5.74,0.583265,0.720858991,0.3242,0.008702596,1.353968263
1WDX-model-63-neg,0,1WDX,-49.5336,222.127,53.483,-23.336,11.846,-0.1037,-17.49,0.792613,1.271903992,0.282,0.010279951,-0.660028696
1WOQ-model-2-pos,1,1WOQ,-136.7905,-87.5156,8.24,-11.251,-1.262,-0.0534,7.34,0.587843,-1.219458103,0.2274,0.008915123,2.64541626
1WOQ-model-33-neg,0,1WOQ,-79.21501,-78.4283,-5.255,-27.648,18.096,-0.3672,-19.06,1.11005,-0.6343472,0.2274,0.0071613,-0.167030737
